cdta2020,slug,borocd,puma2020,puma_shared,hvi_geoid,county_fips,boro_code,boro_name,cd_label,display_name,coad,cdta_name
QN08,q08,408,4408,FALSE,8108,081,4,Queens,Community District 8,Fresh Meadows-Hillcrest-Briarwood,,QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation)
QN09,q09,409,4409,FALSE,8109,081,4,Queens,Community District 9,Kew Gardens-Richmond Hill-Woodhaven,,QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation)
QN10,q10,410,4410,FALSE,8110,081,4,Queens,Community District 10,South Ozone Park-Howard Beach,,QN10 South Ozone Park-Howard Beach (CD 10 Approximation)
QN11,q11,411,4411,FALSE,8111,081,4,Queens,Community District 11,Auburndale-Bayside-Douglaston,,QN11 Auburndale-Bayside-Douglaston (CD 11 Approximation)
QN12,q12,412,4412,FALSE,8112,081,4,Queens,Community District 12,Jamaica-St. Albans-Hollis,,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation)
QN13,q13,413,4413,FALSE,8113,081,4,Queens,Community District 13,Queens Village-Bellerose-Rosedale,,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation)
QN14,q14,414,4414,FALSE,8114,081,4,Queens,Community District 14,The Rockaways,FRANC,QN14 The Rockaways (CD 14 Approximation)
SI01,si01,501,4501,FALSE,8501,085,5,Staten Island,Community District 1,North Shore,,SI01 North Shore (CD 1 Equivalent)
SI02,si02,502,4502,FALSE,8502,085,5,Staten Island,Community District 2,Mid-Island,,SI02 Mid-Island (CD 2 Approximation)
SI03,si03,503,4503,FALSE,8503,085,5,Staten Island,Community District 3,South Shore,,SI03 South Shore (CD 3 Approximation)
